dias;muestra,log-normal inicial,log-normal optimizada p=2, log-normal optimizada p=1
-5,2.000000,0.000000,0.000000,0.000000
-4,5.000000,0.000118,0.000029,0.000174
-3,9.000000,0.137393,0.184213,0.148395
-2,4.000000,2.490123,3.231061,2.407308
-1,8.000000,11.206892,12.777757,10.341525
0,32.000000,26.260312,26.958561,23.811302
1,38.000000,42.921811,41.008014,38.832635
2,50.000000,56.337166,51.495078,51.309867
3,63.000000,64.117625,57.278654,59.106180
4,62.000000,66.219237,58.763962,61.999993
5,44.000000,63.867214,57.006445,60.871290
6,58.000000,58.627329,53.141617,56.963734
7,50.000000,51.892786,48.125147,51.449514
8,40.000000,44.699142,42.661295,45.248935
9,39.000000,37.720443,37.220557,39.000761
10,33.000000,31.339040,32.088381,33.101354
11,31.000000,25.730093,27.416883,27.764366
12,18.000000,20.935236,23.268577,23.077784
13,17.000000,16.918031,19.649512,19.049825
14,18.000000,13.602024,16.532732,15.642428
15,16.000000,10.895013,13.874042,12.794035
16,17.000000,8.703435,11.622128,10.434186
17,15.000000,6.940119,9.724728,8.492284
18,7.000000,5.527873,8.132161,6.902425
19,4.000000,4.400557,6.799133,5.605708
20,3.000000,3.502784,5.685478,4.550997
21,3.000000,2.788919,4.756247,3.694790
22,1.000000,2.221805,3.981450,3.000618
23,1.000000,1.771456,3.335604,2.438241
24,1.000000,1.413825,2.797214,1.982783
