dias,muestra,log-normal inicial,log-normal optimizada p=2, log-normal optimizada p=1
-5,2.000000,0.000000,0.000000,0.000000
-4,5.000000,0.000118,0.000118,0.000118
-3,9.000000,0.137393,0.137393,0.137393
-2,4.000000,2.490123,2.490123,2.490123
-1,8.000000,11.206892,11.206892,11.206892
0,32.000000,26.260312,26.260312,26.260312
1,38.000000,42.921811,42.921811,42.921811
2,50.000000,56.337166,56.337166,56.337166
3,63.000000,64.117625,64.117625,64.117625
4,62.000000,66.219237,66.219237,66.219237
5,44.000000,63.867214,63.867214,63.867214
6,58.000000,58.627329,58.627329,58.627329
7,50.000000,51.892786,51.892786,51.892786
8,40.000000,44.699142,44.699142,44.699142
9,39.000000,37.720443,37.720443,37.720443
10,33.000000,31.339040,31.339040,31.339040
11,31.000000,25.730093,25.730093,25.730093
12,18.000000,20.935236,20.935236,20.935236
13,17.000000,16.918031,16.918031,16.918031
14,18.000000,13.602024,13.602024,13.602024
15,16.000000,10.895013,10.895013,10.895013
16,17.000000,8.703435,8.703435,8.703435
17,15.000000,6.940119,6.940119,6.940119
18,7.000000,5.527873,5.527873,5.527873
19,4.000000,4.400557,4.400557,4.400557
20,3.000000,3.502784,3.502784,3.502784
21,3.000000,2.788919,2.788919,2.788919
22,1.000000,2.221805,2.221805,2.221805
23,1.000000,1.771456,1.771456,1.771456
24,1.000000,1.413825,1.413825,1.413825
